lon,lat,time
18.713070600000652,54.17879169999442,0.0
18.713055199999527,54.17879460000539,0.04
18.713039900000382,54.17879709999498,0.08
18.71302439999979,54.17879980000482,0.12
18.713008900000208,54.1788024999952,0.16
18.712993399999792,54.1788053000047,0.2
18.712977900000205,54.178807999995406,0.24
18.712962100000055,54.17881080000449,0.28
18.712946299999942,54.178813399995704,0.32
18.712930500000056,54.17881610000419,0.36
18.712914699999942,54.178818799995824,0.4
18.712898900000056,54.178821400004246,0.44
18.712883099999946,54.17882409999568,0.48
18.712867300000052,54.17882670000439,0.52
18.712851499999946,54.17882929999562,0.56
18.712835999999793,54.17883190000436,0.6
18.712820500000205,54.17883429999583,0.64
18.71280529999953,54.178836700004155,0.68
18.712790100000465,54.17883909999586,0.72
18.71277499999945,54.17884150000412,0.76
18.712759800000637,54.17884389999589,0.8
18.712744899999105,54.17884620000418,0.84
18.712730100000808,54.17884859999575,0.88
18.712715399999112,54.17885090000432,0.92
18.712700600000975,54.17885319999569,0.96
18.712685999998858,54.17885550000429,1.0
18.712671400001142,54.17885769999582,1.04
18.712656699998952,54.17885990000417,1.08
18.712642100000956,54.17886199999594,1.12
18.712627499999048,54.17886400000414,1.16
18.71261290000095,54.17886599999588,1.2
18.71259819999914,54.17886770000437,1.24
18.712583600000766,54.17886969999538,1.28
18.71256879999941,54.17887130000494,1.32
18.71255400000059,54.17887299999499,1.36
18.712539299999325,54.17887460000509,1.4
18.71252460000067,54.178875999995114,1.44
18.712509699999504,54.17887730000496,1.48
18.712494900000404,54.17887859999506,1.52
18.712479999999683,54.17887980000501,1.56
18.712465100000315,54.178880999995,1.6
18.7124502999996,54.17888190000524,1.64
18.712435400000487,54.17888269999487,1.68
18.7124203999996,54.17888320000537,1.72
18.712405500000308,54.17888369999465,1.76
18.712390399999865,54.17888410000541,1.8
18.71237549999996,54.17888459999452,1.84
18.71236060000004,54.17888490000564,1.88
18.712345600000045,54.17888499999456,1.92
18.712330699999864,54.178885100005424,1.96
18.712315800000134,54.17888489999486,2.0
18.712300700000043,54.17888460000521,2.04
18.712285799999783,54.1788841999949,2.08
18.712270900000217,54.17888370000517,2.12
18.712255999999787,54.17888289999511,2.16
18.712241300000038,54.17888200000496,2.2
18.71222650000005,54.178880799995326,2.24
18.712211899999776,54.17887950000475,2.28
18.712197200000308,54.1788783999951,2.32
18.712182599999604,54.178877000005144,2.36
18.712168000000393,54.17887559999487,2.4
18.712153299999695,54.17887430000502,2.44
18.712138900000042,54.17887269999526,2.48
18.71212449999996,54.17887100000481,2.52
18.712110100000043,54.1788691999953,2.56
18.712095699999956,54.178867300004775,2.6
18.712081399999953,54.17886529999533,2.64
18.712067000000133,54.178863100004826,2.68
18.712052799999693,54.178860899995186,2.72
18.712038600000305,54.178858500004964,2.76
18.712024399999695,54.17885599999514,2.8
18.71201040000013,54.17885340000493,2.84
18.711996599999697,54.17885059999526,2.88
18.711982800000303,54.1788477000048,2.92
18.711969099999614,54.17884459999539,2.96
18.711955300000472,54.178841500004594,3.0
18.711941699999354,54.17883839999542,3.04
18.711928200000557,54.178835000004824,3.08
18.71191489999927,54.17883129999545,3.12
18.711901500000813,54.178827800004356,3.16
18.711888399998927,54.17882389999601,3.2
18.71187530000107,54.178820000003974,3.24
18.711862499998674,54.178815999996125,3.28
18.71184970000132,54.17881200000386,3.32
18.71183679999877,54.178807799996335,3.36
18.711824000001137,54.17880340000383,3.4
18.71181139999869,54.178798799996365,3.44
18.711798900001217,54.178794100003714,3.48
18.711786499998702,54.17878919999647,3.52
18.711774300001117,54.1787842000036,3.56
18.711762399998626,54.17877889999667,3.6
18.71175060000128,54.178773800003135,3.64
18.71173899999855,54.17876849999705,3.68
18.71172750000136,54.17876300000311,3.72
18.71171619999847,54.17875759999681,3.76
18.711705000001434,54.17875190000344,3.8
18.711693999998396,54.17874599999674,3.84
18.7116830000016,54.178739900003414,3.88
18.711672299998146,54.17873389999651,3.92
18.711661700001763,54.17872780000356,3.96
18.711651499997895,54.17872159999654,4.0
18.71164120000218,54.17871530000354,4.04
18.711631099997653,54.178708799996656,4.08
18.71162110000225,54.17870220000342,4.12
18.711611499997407,54.17869559999659,4.16
18.711602300002234,54.178688900003486,4.2
18.711593099997774,54.17868219999652,4.24
18.711584300001867,54.17867550000346,4.28
18.71157559999805,54.178668599996726,4.32
18.711566900001944,54.178661900003085,4.36
18.71155869999763,54.178655099997016,4.4
18.711550600002273,54.178648300002976,4.44
18.711542599997646,54.17864139999712,4.48
18.711534900002082,54.178634700002696,4.52
18.711527299997837,54.178628099997226,4.56
18.711519900001978,54.178621500002755,4.6
18.711512799997767,54.178614999997166,4.64
18.711505700002228,54.17860820000308,4.68
18.71149889999752,54.17860149999684,4.72
18.711492200002382,54.17859490000306,4.76
18.711485699997453,54.17858819999704,4.8
18.711479300002452,54.178581600002865,4.84
18.711473199997297,54.17857509999706,4.88
18.71146720000261,54.17856860000293,4.92
18.711461299997314,54.178561999997164,4.96
18.711455500002586,54.17855540000282,5.0
18.711449799997336,54.178548899997104,5.04
18.711444200002568,54.178542300002974,5.08
18.711438799997268,54.17853579999694,5.12
18.711433400002722,54.17852930000304,5.16
18.7114280999972,54.178522799996976,5.2
18.7114229000027,54.1785162000031,5.24
18.711417599997397,54.178509699996816,5.28
18.71141250000242,54.178503100003255,5.32
18.711407499997502,54.17849669999658,5.36
18.711402300002664,54.1784903000034,5.4
18.711397299997174,54.1784837999967,5.44
18.711392200002905,54.178477300003294,5.48
18.71138719999702,54.17847089999663,5.52
